#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/05:52:00      -1.55000         278.600        7.98000
31-10-2012/05:53:00     -0.640000         277.800        8.80000
31-10-2012/05:54:00     -0.710000         277.900        8.86000
31-10-2012/05:55:00     -0.420000         278.500        8.66000
31-10-2012/05:56:00     -0.510000             nan            nan
31-10-2012/05:57:00     -0.600000         276.700        9.10000
31-10-2012/05:58:00      -3.40000         276.700        9.10000
31-10-2012/05:59:00      -3.60000         276.700        9.10000
31-10-2012/06:00:00      -3.44000         280.500        7.94000
31-10-2012/06:01:00      -3.27000         280.500        7.94000
31-10-2012/06:02:00      -2.88000             nan            nan
31-10-2012/06:03:00      -3.23000         279.500        8.10000
31-10-2012/06:04:00      -3.41000         281.000        7.99000
31-10-2012/06:05:00      -3.44000         281.700        7.95000
31-10-2012/06:06:00      -3.46000             nan            nan
31-10-2012/06:07:00      -3.10000             nan            nan
31-10-2012/06:08:00      -2.82000             nan            nan
31-10-2012/06:09:00      -2.29000         282.900        7.82000
31-10-2012/06:10:00      -2.98000         282.900        7.82000
31-10-2012/06:11:00      -3.20000         278.600        7.82000
31-10-2012/06:12:00      -1.27000         278.600        7.37000
31-10-2012/06:13:00      -1.23000         278.500        8.24000
31-10-2012/06:14:00      -1.05000         276.600        8.16000
31-10-2012/06:15:00      -1.35000         276.500        8.15000
31-10-2012/06:16:00      -1.46000             nan            nan
31-10-2012/06:17:00      -1.49000         274.600        8.83000
31-10-2012/06:18:00      -1.07000         274.600        8.83000
31-10-2012/06:19:00      -1.13000         276.600        7.57000
31-10-2012/06:20:00      0.130000         277.000        8.09000
31-10-2012/06:21:00       2.96000         277.700        8.56000
31-10-2012/06:22:00       3.51000         279.600        8.25000
31-10-2012/06:23:00       2.57000         279.600        8.25000
31-10-2012/06:24:00       2.02000             nan            nan
31-10-2012/06:25:00       2.28000         277.800        7.54000
31-10-2012/06:26:00       2.13000         277.800        7.54000
31-10-2012/06:27:00       2.38000         278.300        7.12000
31-10-2012/06:28:00       2.44000         278.300        7.12000
31-10-2012/06:29:00       1.62000         277.400        7.65000
31-10-2012/06:30:00       2.26000         277.400        7.65000
31-10-2012/06:31:00       1.22000         277.400        7.65000
31-10-2012/06:32:00       1.82000         277.200        7.62000
31-10-2012/06:33:00       1.56000         277.200        7.62000
31-10-2012/06:34:00      0.670000         274.400        7.70000
31-10-2012/06:35:00      0.500000         274.400        7.70000
31-10-2012/06:36:00       1.12000         274.400        7.77000
31-10-2012/06:37:00      0.620000         274.200        8.15000
31-10-2012/06:38:00     -0.380000         274.200        8.15000
31-10-2012/06:39:00      0.180000         276.900        7.47000
31-10-2012/06:40:00     -0.150000         276.900        7.47000
31-10-2012/06:41:00     -0.960000         277.100        7.61000
31-10-2012/06:42:00     -0.750000         277.100        7.61000
31-10-2012/06:43:00     -0.960000         276.500        7.55000
31-10-2012/06:44:00      -1.38000         276.600        7.55000
31-10-2012/06:45:00      -1.78000         276.900        7.53000
31-10-2012/06:46:00      -1.66000         275.500        7.90000
31-10-2012/06:47:00      -2.16000         275.400        7.93000
31-10-2012/06:48:00      -1.42000             nan            nan
31-10-2012/06:49:00     -0.340000         287.100        7.53000
31-10-2012/06:50:00     0.0100000         287.100        7.53000
31-10-2012/06:51:00      -1.20000         274.900        7.61000
31-10-2012/06:52:00       2.84000         274.900        7.61000
31-10-2012/06:53:00       2.87000             nan            nan
31-10-2012/06:54:00       1.22000         285.900        7.93000
31-10-2012/06:55:00      0.840000         285.900        7.93000
31-10-2012/06:56:00       1.02000         278.400        7.51000
31-10-2012/06:57:00       1.41000         280.400        7.71000
31-10-2012/06:58:00       1.53000         280.800        8.04000
31-10-2012/06:59:00       1.85000         279.700        7.14000
31-10-2012/07:00:00       2.27000         278.600        8.30000
31-10-2012/07:01:00       2.51000         280.600        8.39000
